odom_VelLinX,IMU_fil_AngZ,enu_x,enu_y,enu_x_head,enu_y_head,pos_x,pos_y,time
-7.60242563346836e-16,-0.000923074199818075,0,0,-0.190044970597315,0.120030049789421,10.5315793128448,-5.07724876297228,0
-7.60242563346836e-16,-0.000923074199818075,0,0,-0.190044970597315,0.120030049789421,10.5315793128448,-5.07724876297228,0.000166416168212891
-7.60242563346836e-16,-0.000923074199818075,-0.0130318421153218,-0.0237153153500789,-0.216676959265602,0.140536632062806,10.5315793128448,-5.07724876297228,0.000521659851074219
-7.60242563346836e-16,-0.000923074199818075,-0.0326802054428065,-0.0569231981391344,-0.216676959265602,0.140536632062806,10.5315793128448,-5.07724876297228,0.000902414321899414
-7.60242563346836e-16,-0.000923074199818075,-0.0616408615958121,-0.119249832734768,-0.243747830605059,0.161527270855527,10.5315793128448,-5.07724876297228,0.00116157531738281
-7.60242563346836e-16,-0.000923074199818075,-0.0718489851716529,-0.145843509681302,-0.243747830605059,0.161527270855527,10.5315793128448,-5.07724876297228,0.0014350414276123
-7.60242563346836e-16,-0.000923074199818075,-0.0812821918265016,-0.1678583625352,-0.262390180129215,0.181425135628033,10.5315793128448,-5.07724876297228,0.00191807746887207
-7.60242563346836e-16,-0.000923074199818075,-0.0812821918265016,-0.1678583625352,-0.262390180129215,0.181425135628033,10.5315793128448,-5.07724876297228,0.0148253440856934
-7.60242563346836e-16,0.000465633173007518,-0.107135779421265,-0.222566578600926,-0.284076145806297,0.201221423635378,10.5315793128448,-5.07724876297228,0.113208770751953
-7.60242563346836e-16,0.00143771013244987,-0.120495962985682,-0.246520065368547,-0.284076145806297,0.201221423635378,10.5315793128448,-5.07724876297228,0.213252305984497
-7.60242563346836e-16,0.00570343714207411,-0.138504829086616,-0.280372694411343,-0.308373089465811,0.222629664124803,10.5315793128448,-5.07724876297228,0.322340726852417
-7.60242563346836e-16,0.00186435203067958,-0.148651436190367,-0.304738154106237,-0.308373089465811,0.222629664124803,10.5315793128448,-5.07724876297228,0.422868013381958
-7.60242563346836e-16,-0.000211431193747558,-0.157319947821452,-0.326258179460562,-0.331442801013859,0.247737304408607,10.5315793128448,-5.07724876297228,0.52021050453186
-7.60242563346836e-16,0.00094788649585098,-0.165089731982795,-0.348757758755641,-0.331442801013859,0.247737304408607,10.5315793128448,-5.07724876297228,0.620276927947998
-7.60242563346836e-16,-0.000708432926330715,-0.177210258730592,-0.373687342525028,-0.352459146283416,0.268170210352114,10.5315793128448,-5.07724876297228,0.718903303146362
-7.60242563346836e-16,-0.000478972855489701,-0.183252493369816,-0.389386405730387,-0.352459146283416,0.268170210352114,10.5315793128448,-5.07724876297228,0.81890606880188
-7.60242563346836e-16,-0.0013738761190325,-0.185357842364297,-0.406138286898644,-0.369818945442425,0.28768177527053,10.5315793128448,-5.07724876297228,0.917182922363281
-7.60242563346836e-16,-0.000520484696608037,-0.193490084924013,-0.425283269001136,-0.369818945442425,0.28768177527053,10.5315793128448,-5.07724876297228,1.01622080802917
-7.60242563346836e-16,0.00421764329075813,-0.200770119302037,-0.439036939721016,-0.384113911455265,0.304420553209033,10.5315793128448,-5.07724876297228,1.11471343040466
-7.60242563346836e-16,-0.00184410414658487,-0.208605567394127,-0.459870166659915,-0.384113911455265,0.304420553209033,10.5315793128448,-5.07724876297228,1.21366667747498
-7.60242563346836e-16,0.000673714675940573,-0.218942430327532,-0.483278684560194,-0.40145862418805,0.326983687891768,10.5315793128448,-5.07724876297228,1.31343603134155
-7.60242563346836e-16,-0.00144037895370275,-0.235979767607228,-0.514363042562867,-0.40145862418805,0.326983687891768,10.5315793128448,-5.07724876297228,1.42254853248596
-7.60242563346836e-16,-0.00240341387689114,-0.250197739857801,-0.54256739318351,-0.415759707546597,0.347583081245066,10.5315793128448,-5.07724876297228,1.5219247341156
-7.60242563346836e-16,-0.00162832252681255,-0.265349893258016,-0.565957146448699,-0.415759707546597,0.347583081245066,10.5315793128448,-5.07724876297228,1.62131595611572
-7.60242563346836e-16,-4.52279346063733e-05,-0.276605613380209,-0.582817845366813,-0.43315136872053,0.36965080187263,10.5315793128448,-5.07724876297228,1.71965575218201
-7.60242563346836e-16,-0.00136252015363425,-0.288126834611601,-0.600759528296186,-0.43315136872053,0.36965080187263,10.5315793128448,-5.07724876297228,1.81937146186829
-7.60242563346836e-16,0.000563980313017964,-0.304895418674523,-0.622412599858352,-0.453318248161867,0.393668463088616,10.5315793128448,-5.07724876297228,1.91825485229492
-7.60242563346836e-16,-0.00225564115680754,-0.319557520203772,-0.641965213332045,-0.453318248161867,0.393668463088616,10.5315793128448,-5.07724876297228,2.01662683486938
-7.60242563346836e-16,0.000705660495441407,-0.332576387836884,-0.664341111332882,-0.472079414764233,0.419432446861341,10.5315793128448,-5.07724876297228,2.11563611030579
-7.60242563346836e-16,0.00171400245744735,-0.341461483266032,-0.683874630146131,-0.472079414764233,0.419432446861341,10.5315793128448,-5.07724876297228,2.21449136734009
-7.60242563346836e-16,0.00164116628002375,-0.354120575030449,-0.707669143636761,-0.489554560979031,0.444936629441322,10.5315793128448,-5.07724876297228,2.31361603736877
-7.60242563346836e-16,-0.00114009319804609,-0.36441323277009,-0.728696887754444,-0.489554560979031,0.444936629441322,10.5315793128448,-5.07724876297228,2.41333556175232
-7.60242563346836e-16,0.000185729979421012,-0.375177614391941,-0.746878100476567,-0.507852753902595,0.472990139352564,10.5315793128448,-5.07724876297228,2.52233529090881
-7.60242563346836e-16,0.000678957905620337,-0.388101828139178,-0.765153104082513,-0.507852753902595,0.472990139352564,10.5315793128448,-5.07724876297228,2.62117457389832
-7.60242563346836e-16,0.00151967816054821,-0.392110806774431,-0.771655810495367,-0.52787707604827,0.497187446635031,10.5315793128448,-5.07724876297228,2.72114753723145
-7.60242563346836e-16,-0.00384455127641559,-0.40163101627846,-0.785102326636368,-0.52787707604827,0.497187446635031,10.5315793128448,-5.07724876297228,2.81933689117432
-7.60242563346836e-16,0.00212936312891543,-0.404210632193568,-0.791931186166838,-0.542940130965156,0.522113287734614,10.5315793128448,-5.07724876297228,2.91892051696777
-7.60242563346836e-16,0.000663277460262179,-0.408070878236442,-0.798539755084694,-0.542940130965156,0.522113287734614,10.5315793128448,-5.07724876297228,3.01833915710449
-7.60242563346836e-16,0.000995238893665373,-0.410605832778034,-0.803006854600269,-0.558996049100045,0.549506078065966,10.5315793128448,-5.07724876297228,3.11689686775208
